id,name,description,price,categoryId,warehouseCode,colors,sizes,weight,imageUrl,isActive,createdAt,updatedAt
1,فستان وردي فاخر,فستان سهرة وردي بتصميم فاخر,299.99,1,WH001,وردي|أحمر|أسود,S|M|L|XL,0.5,/images/dress1.jpg,1,2026-06-28,2026-06-28
2,كرسي جلوس ذهبي,كرسي جلوس بتصميم ذهبي فاخر,599.99,2,WH001,ذهبي|فضي,واحد,15.0,/images/chair1.jpg,1,2026-06-28,2026-06-28
3,قلادة ماسية,قلادة ماسية أصلية 18 قيراط,1299.99,3,WH002,ذهبي,واحد,0.1,/images/necklace1.jpg,1,2026-06-28,2026-06-28
4,حذاء كعب عالي,حذاء كعب عالي أسود براق,199.99,4,WH002,أسود|أحمر|ذهبي,35|36|37|38|39|40,0.3,/images/heels1.jpg,1,2026-06-28,2026-06-28
5,حقيبة يد جلدية,حقيبة يد جلدية أصلية,449.99,5,WH003,أسود|بني|أحمر,واحد,1.2,/images/bag1.jpg,1,2026-06-28,2026-06-28
6,فستان أبيض ناعم,فستان أبيض ناعم للحفلات,349.99,1,WH001,أبيض|كريمي,S|M|L,0.4,/images/dress2.jpg,1,2026-06-28,2026-06-28
7,طاولة طعام خشبية,طاولة طعام خشبية فاخرة,799.99,2,WH001,بني|أسود,واحد,50.0,/images/table1.jpg,1,2026-06-28,2026-06-28
8,خاتم ماسي,خاتم ماسي بتصميم عصري,899.99,3,WH002,ذهبي|فضي|وردي,5|6|7|8|9,0.05,/images/ring1.jpg,1,2026-06-28,2026-06-28
9,فستان أسود كلاسيكي,فستان أسود كلاسيكي للمناسبات,279.99,1,WH001,أسود,XS|S|M|L|XL,0.45,/images/dress3.jpg,1,2026-06-28,2026-06-28
10,كرسي مكتب جلدي,كرسي مكتب جلدي مريح,449.99,2,WH001,أسود|بني|رمادي,واحد,12.0,/images/chair2.jpg,1,2026-06-28,2026-06-28
11,أساور ذهبية,أساور ذهبية بتصاميم مختلفة,199.99,3,WH002,ذهبي|وردي,واحد,0.08,/images/bracelets.jpg,1,2026-06-28,2026-06-28
12,حذاء رياضي نسائي,حذاء رياضي نسائي مريح,149.99,4,WH002,أبيض|أسود|وردي,35|36|37|38|39|40|41,0.35,/images/sneakers.jpg,1,2026-06-28,2026-06-28
13,حقيبة ظهر جلدية,حقيبة ظهر جلدية للسفر,379.99,5,WH003,أسود|بني,واحد,1.5,/images/backpack.jpg,1,2026-06-28,2026-06-28
14,مرآة ديكور فاخرة,مرآة ديكور فاخرة بإطار ذهبي,249.99,2,WH001,ذهبي,واحد,8.0,/images/mirror.jpg,1,2026-06-28,2026-06-28
15,عقد ماسي فاخر,عقد ماسي فاخر للحفلات,1599.99,3,WH002,ذهبي,واحد,0.12,/images/necklace2.jpg,1,2026-06-28,2026-06-28
16,فستان سهرة أحمر,فستان سهرة أحمر براق,399.99,1,WH001,أحمر,S|M|L|XL,0.55,/images/dress4.jpg,1,2026-06-28,2026-06-28
17,أريكة جلوس فاخرة,أريكة جلوس فاخرة 3 مقاعد,1299.99,2,WH001,أسود|بني|رمادي,واحد,80.0,/images/sofa.jpg,1,2026-06-28,2026-06-28
18,حذاء كلاسيكي جلدي,حذاء كلاسيكي جلدي بني,229.99,4,WH002,بني|أسود,35|36|37|38|39|40,0.4,/images/leather_shoes.jpg,1,2026-06-28,2026-06-28
19,حقيبة يد صغيرة,حقيبة يد صغيرة للسهرات,199.99,5,WH003,أسود|ذهبي|فضي,واحد,0.6,/images/clutch.jpg,1,2026-06-28,2026-06-28
20,خاتم فضي,خاتم فضي بتصميم عصري,149.99,3,WH002,فضي,5|6|7|8|9|10,0.04,/images/silver_ring.jpg,1,2026-06-28,2026-06-28
